Title,description,authors,publisher,publishedDate,categories,ratingsCount
God Calling,"A journal prepared by two women who call themselves Two Listeners contains prayers, messages, and inspirational thoughts from God for each day of the year. Reissue.",A. J. Russell,Berkley,2006-06-27,Religion,126.0
The Martian Chronicles,"The tranquility of Mars is disrupted by humans who want to conquer space, colonize the planet, and escape a doomed Earth.",Ray Bradbury,Simon and Schuster,2012-04-17,Fiction,138.0
Tripwire,"Settling into a peaceful life in Key West, Reacher's world is turned upside down when a stranger comes looking for him, a man who turns up dead in the Old Town cemetery and who leads him on a perilous trail to New York, where he confronts an alluring woman from his past, and a deadly opponent. Reissue.",Lee Child,Penguin,2007-05-01,Fiction,31.0
Stuart Little,"The classic story by E. B. White, author of the Newbery Honor Book Charlotte's Web and The Trumpet of the Swan, about one small mouse on a very big adventure. Now available as an ebook! Illustrations in this ebook appear in vibrant full color on a full-color device and in rich black-and-white on all other devices. Stuart Little is no ordinary mouse. Born to a family of humans, he lives in New York City with his parents, his older brother George, and Snowbell the cat. Though he's shy and thoughtful, he's also a true lover of adventure. Stuart's greatest adventure comes when his best friend, a beautiful little bird named Margalo, disappears from her nest. Determined to track her down, Stuart ventures away from home for the very first time in his life. He finds adventure aplenty. But will he find his friend? Stuart Little joins E. B. White favorites Charlotte's Web and The Trumpet of the Swan as classic illustrated novels that continue to speak to today's readers. Whether you curl up with your young reader to share these books or hand them off for independent reading, you are helping to create what are likely to be all-time favorite reading memories.",E. B. White,HarperCollins,2015-03-17,Juvenile Fiction,87.0
MOBY DICK or THE WHALE,"Call me Ishmael. So begins the famous opening chapter of Moby-Dick; or, The Whale. Young sailor Ishmael is hired as a crew member of a whaler named Pequod, captained by a man named Ahab. In between lengthy chapters on whale biology and descriptions of the crew and the whaling trade, readers are slowly introduced to a captivating tale. Ahab is out for revenge on the great white whale that stole his leg, leaving him with a whale-bone prosthesis and a withering hatred for the beast. Known as Moby Dick, the whale is infamous for his encounters and escapes with whale ships, and Ahab offers a gold coin, nailed to the Pequod's mast, as a reward for whoever sights him first. Beginning on a cold Christmas morning, the crew embarks on a journey to find the whale and make their fortunes. An exciting staple of American literature, Moby-Dick is a must-read for anyone interested in the classics. Herman Melville was inspired to write Moby Dick by the 1821 biographical account Narrative of the Most Extraordinary and Distressing Shipwreck of the Whale-ship Essex (Cosimo Classics, 2015), which in turn inspired the 2000 novel and 2015 movie, In the Heart of the Sea. HERMAN MELVILLE (1819-1891) was an American novelist. Born in New York, Melville lived and worked in the city for many years before moving with his family to Massachusetts, where he enjoyed a short friendship with author Nathaniel Hawthorne. Many of Melville's books are inspired by his own experiences; he sailed on merchant and whaling ships, spent time on the Marquesas Islands with natives, and spent time in England, Egypt, and Palestine. Melville even wrote poetry reflecting on the American Civil War. He eventually retired in New York City, where he was buried in the Bronx, relatively unknown. Melville was the author of 19 books of fiction, nonfiction, and poetry, including *Typee* (1846), Moby-Dick (1851), ""Bartelby the Scrivener"" (1853), ""Benito Cerino"" (1855), Battle-Pieces and Aspects of the War (1866), and Billy Budd, Sailor (1891, unfinished).",H. Melville,Рипол Классик,2016-01-04,Fiction,6.0
Neuromancer,"Case, a burned-out computer whiz, is asked to steal a security code that is locked in the most heavily guarded databank in the solar system, in a new edition of the influential Hugo, Nebula, and Philip K. Dick Award winner. Reprint.",William Gibson,Penguin,2000,Fiction,34.0
A tree grows in Brooklyn: A novel (Armed Services edition),"Chronicles the joint effort of the U.S. government, the publishing industry and the nation's librarians to boost troop morale during World War II by shipping 120 million books to the front lines for soldiers to read during what little downtime they had. 35,000 first printing.",Molly Guptill Manning,Houghton Mifflin Harcourt,2014-12-02,History,24.0
We Have Always Lived In The Castle,"THE STORY: The home of the Blackwoods near a Vermont village is a lonely, ominous abode, and Constance, the young mistress of the place, can't go out of the house without being insulted and stoned by the villagers. They have also composed a nasty s",Shirley Jackson,Dramatists Play Service Inc,1967-10,Drama,182.0
An American tragedy,"The author's classic vision of the dark side of American life looks at the failings of the American dream, in the story of the rise and fall of Clyde Griffiths, who sacrifices everything in his desperate quest for success.","Theodore Dreiser, Richard Lingeman, Margaret E. Mitchell",Signet Classic,2010,Fiction,17.0
George Orwell 1984,"""Nineteen Eighty-Four: A Novel"", often published as ""1984"", is a dystopian social science fiction novel by English novelist George Orwell. It was published on 8 June 1949 by Secker & Warburg as Orwell's ninth and final book completed in his lifetime. Thematically, ""Nineteen Eighty-Four"" centres on the consequences of totalitarianism, mass surveillance, and repressive regimentation of persons and behaviours within society. Orwell, himself a democratic socialist, modelled the authoritarian government in the novel after Stalinist Russia. More broadly, the novel examines the role of truth and facts within politics and the ways in which they are manipulated. The story takes place in an imagined future, the year 1984, when much of the world has fallen victim to perpetual war, omnipresent government surveillance, historical negationism, and propaganda. Great Britain, known as Airstrip One, has become a province of a totalitarian superstate named Oceania that is ruled by the Party who employ the Thought Police to persecute individuality and independent thinking. Big Brother, the leader of the Party, enjoys an intense cult of personality despite the fact that he may not even exist. The protagonist, Winston Smith, is a diligent and skillful rank-and-file worker and Outer Party member who secretly hates the Party and dreams of rebellion. He enters into a forbidden relationship with a colleague, Julia, and starts to remember what life was like before the Party came to power.",George Orwell,epubli,2021-01-09,Fiction,562.0
